Model name                            : MLP_Multistep
The number of input features          : 10
The number of output features         : 2
Optimizer name                        : SGD
Learning rate                         : 0.0001
Max number of iterations              : 3000
Number of samples in training data    : 71
Number of samples in tests data       : 30
Total training time                   : 2.7595951557159424
Total number of parameters            : 203302
Percentage of parameters < 1e-9       : 49.8283342023197%
Percentage of parameters < 1e-7       : 49.82882608139615%
Percentage of parameters < 1e-6       : 49.83030171862549%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.5866166000148079
Loss at iteration [2]: 1.5865160674354288
Loss at iteration [3]: 1.5863651592050612
Loss at iteration [4]: 1.5861891262455996
Loss at iteration [5]: 1.5860005825311174
Loss at iteration [6]: 1.5858058356043923
Loss at iteration [7]: 1.5856080392649088
Loss at iteration [8]: 1.5854087703084792
Loss at iteration [9]: 1.5852088169962133
Loss at iteration [10]: 1.5850085733138473
Loss at iteration [11]: 1.584808243375506
Loss at iteration [12]: 1.5846079392867254
Loss at iteration [13]: 1.5844076921559629
Loss at iteration [14]: 1.584207524646935
Loss at iteration [15]: 1.5840074480784883
Loss at iteration [16]: 1.5838082905190694
Loss at iteration [17]: 1.5836093525414279
Loss at iteration [18]: 1.5834105744702904
Loss at iteration [19]: 1.5832119261725452
Loss at iteration [20]: 1.5830133924237682
Loss at iteration [21]: 1.5828149654821706
Loss at iteration [22]: 1.5826166413349738
Loss at iteration [23]: 1.5824184178341736
Loss at iteration [24]: 1.5822202937644196
Loss at iteration [25]: 1.582022268812397
Loss at iteration [26]: 1.58182497645146
Loss at iteration [27]: 1.5816281540824397
Loss at iteration [28]: 1.5814315330071662
Loss at iteration [29]: 1.581235067688256
Loss at iteration [30]: 1.5810387277560805
Loss at iteration [31]: 1.5808424981968048
Loss at iteration [32]: 1.5806463713659349
Loss at iteration [33]: 1.5804503433039019
Loss at iteration [34]: 1.580254411893857
Loss at iteration [35]: 1.5800585759405683
Loss at iteration [36]: 1.5798628347098702
Loss at iteration [37]: 1.5796671876983857
Loss at iteration [38]: 1.5794716345183866
Loss at iteration [39]: 1.5792761748402249
Loss at iteration [40]: 1.579080808363547
Loss at iteration [41]: 1.5788855348029
Loss at iteration [42]: 1.578690353880533
Loss at iteration [43]: 1.5784952653228002
Loss at iteration [44]: 1.578300275342961
Loss at iteration [45]: 1.5781053961730136
Loss at iteration [46]: 1.577910840530039
Loss at iteration [47]: 1.5777167354935455
Loss at iteration [48]: 1.5775227788084558
Loss at iteration [49]: 1.5773289416913325
Loss at iteration [50]: 1.5771352095203697
Loss at iteration [51]: 1.576941574851895
Loss at iteration [52]: 1.5767480338315487
Loss at iteration [53]: 1.57655458439987
Loss at iteration [54]: 1.5763610879808665
Loss at iteration [55]: 1.5761675934239003
Loss at iteration [56]: 1.5759741500610016
Loss at iteration [57]: 1.5757807766215353
Loss at iteration [58]: 1.5755874823387146
Loss at iteration [59]: 1.575394271697918
Loss at iteration [60]: 1.5752011468108484
Loss at iteration [61]: 1.5750081086026146
Loss at iteration [62]: 1.5748151574052676
Loss at iteration [63]: 1.5746222932545715
Loss at iteration [64]: 1.574429516038387
Loss at iteration [65]: 1.5742368255708612
Loss at iteration [66]: 1.5740442149815943
Loss at iteration [67]: 1.573851561982685
Loss at iteration [68]: 1.5736589711654803
Loss at iteration [69]: 1.5734664542459516
Loss at iteration [70]: 1.573274016953215
Loss at iteration [71]: 1.5730816620231944
Loss at iteration [72]: 1.5728893906954515
Loss at iteration [73]: 1.5726971999713435
Loss at iteration [74]: 1.5725050235951683
Loss at iteration [75]: 1.5723129178179247
Loss at iteration [76]: 1.5721208891736604
Loss at iteration [77]: 1.5719289409516175
Loss at iteration [78]: 1.571737074669194
Loss at iteration [79]: 1.5715452909580971
Loss at iteration [80]: 1.5713531384842145
Loss at iteration [81]: 1.5711608017323897
Loss at iteration [82]: 1.5709684193427966
Loss at iteration [83]: 1.5707760552236523
Loss at iteration [84]: 1.5705837430729457
Loss at iteration [85]: 1.5703912807040137
Loss at iteration [86]: 1.5701986226932452
Loss at iteration [87]: 1.5700059275610196
Loss at iteration [88]: 1.5698132546150194
Loss at iteration [89]: 1.5696206333822242
Loss at iteration [90]: 1.5694280784994712
Loss at iteration [91]: 1.5692355971587506
Loss at iteration [92]: 1.5690431928298554
Loss at iteration [93]: 1.5688508671217076
Loss at iteration [94]: 1.5686586207130202
Loss at iteration [95]: 1.5684664538176258
Loss at iteration [96]: 1.5682753809203203
Loss at iteration [97]: 1.5680849193726458
Loss at iteration [98]: 1.5678947610701892
Loss at iteration [99]: 1.5677047926508223
Loss at iteration [100]: 1.5675149573129508
Loss at iteration [101]: 1.5673252547412786
Loss at iteration [102]: 1.5671356686658515
Loss at iteration [103]: 1.566946443389788
Loss at iteration [104]: 1.5667578111542415
Loss at iteration [105]: 1.5665693537554937
Loss at iteration [106]: 1.5663810209102702
Loss at iteration [107]: 1.5661938576157477
Loss at iteration [108]: 1.5660097821247074
Loss at iteration [109]: 1.5658272693829587
Loss at iteration [110]: 1.5656461417158212
Loss at iteration [111]: 1.5654655297367672
Loss at iteration [112]: 1.5652851272649686
Loss at iteration [113]: 1.565104862971614
Loss at iteration [114]: 1.5649247070303198
Loss at iteration [115]: 1.564744638201565
Loss at iteration [116]: 1.5645646457586897
Loss at iteration [117]: 1.5643847244119369
Loss at iteration [118]: 1.5642048714093497
Loss at iteration [119]: 1.564025085268052
Loss at iteration [120]: 1.563845365139885
Loss at iteration [121]: 1.563665710494228
Loss at iteration [122]: 1.5634861209594082
Loss at iteration [123]: 1.563306596243402
Loss at iteration [124]: 1.5631271360941896
Loss at iteration [125]: 1.5629477402799288
Loss at iteration [126]: 1.5627684513832178
Loss at iteration [127]: 1.5625893480769684
Loss at iteration [128]: 1.562410292877401
Loss at iteration [129]: 1.5622319033779755
Loss at iteration [130]: 1.5620540266125074
Loss at iteration [131]: 1.5618764183277527
Loss at iteration [132]: 1.5616988751854726
Loss at iteration [133]: 1.5615221416037721
Loss at iteration [134]: 1.5613462563328855
Loss at iteration [135]: 1.5611706824069842
Loss at iteration [136]: 1.5609952713454156
Loss at iteration [137]: 1.5608199595429848
Loss at iteration [138]: 1.5606447533154
Loss at iteration [139]: 1.5604695977619083
Loss at iteration [140]: 1.5602945139702222
Loss at iteration [141]: 1.5601194824030042
Loss at iteration [142]: 1.55994448334331
Loss at iteration [143]: 1.5597686464269984
Loss at iteration [144]: 1.5595940233945664
Loss at iteration [145]: 1.5594200615468115
Loss at iteration [146]: 1.5592464369876318
Loss at iteration [147]: 1.5590738310788959
Loss at iteration [148]: 1.5589021059112798
Loss at iteration [149]: 1.5587316564065232
Loss at iteration [150]: 1.5585615855915125
Loss at iteration [151]: 1.5583916187248856
Loss at iteration [152]: 1.5582218130202838
Loss at iteration [153]: 1.5580518602989926
Loss at iteration [154]: 1.5578816353855067
Loss at iteration [155]: 1.5577113536122267
Loss at iteration [156]: 1.55754105846262
Loss at iteration [157]: 1.5573707860389179
Loss at iteration [158]: 1.5572005641900197
Loss at iteration [159]: 1.5570303707425006
Loss at iteration [160]: 1.5568600501454444
